bootstrap,criterion,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,score
True,entropy,10.0,auto,3,4,10,0.9569955817378497
True,entropy,10.0,auto,3,4,50,0.9631601094045866
True,entropy,10.0,auto,3,4,100,0.9611192930780559
True,entropy,10.0,auto,3,4,200,0.9631601094045866
True,entropy,10.0,auto,3,4,400,0.9652009257311172
True,entropy,10.0,auto,3,4,600,0.9631601094045866
True,entropy,10.0,auto,4,2,10,0.9652219650746897
True,entropy,10.0,auto,4,2,50,0.9590784767515252
True,entropy,10.0,auto,4,2,100,0.9611192930780559
True,entropy,10.0,auto,4,2,200,0.9631601094045866
True,entropy,10.0,auto,4,2,400,0.9631601094045866
True,entropy,10.0,auto,4,2,600,0.9631601094045866
True,entropy,10.0,auto,4,3,10,0.963181148748159
True,entropy,10.0,auto,4,3,50,0.9631390700610141
True,entropy,10.0,auto,4,3,100,0.9611192930780559
True,entropy,10.0,auto,4,3,200,0.9631601094045866
True,entropy,10.0,auto,4,3,400,0.9631601094045866
True,entropy,10.0,auto,4,3,600,0.9631601094045866
True,entropy,10.0,auto,4,4,10,0.9611192930780559
True,entropy,10.0,auto,4,4,50,0.9631601094045866
True,entropy,10.0,auto,4,4,100,0.9610982537344835
True,entropy,10.0,auto,4,4,200,0.9631601094045866
True,entropy,10.0,auto,4,4,400,0.9631601094045866
True,entropy,10.0,auto,4,4,600,0.9631601094045866
True,entropy,10.0,sqrt,1,2,10,0.9590784767515255
True,entropy,10.0,sqrt,1,2,50,0.9631601094045864
True,entropy,10.0,sqrt,1,2,100,0.9569955817378497
True,entropy,10.0,sqrt,1,2,200,0.9610982537344835
True,entropy,10.0,sqrt,1,2,400,0.9610982537344835
True,entropy,10.0,sqrt,1,2,600,0.9610982537344835
True,entropy,10.0,sqrt,1,3,10,0.9570166210814224
True,entropy,10.0,sqrt,1,3,50,0.9590574374079528
True,entropy,10.0,sqrt,1,3,100,0.9631601094045866
True,entropy,10.0,sqrt,1,3,200,0.9610982537344835
True,entropy,10.0,sqrt,1,3,400,0.9610982537344835
True,entropy,10.0,sqrt,1,3,600,0.9590574374079528
True,entropy,10.0,sqrt,1,4,10,0.9549758047548916
True,entropy,10.0,sqrt,1,4,50,0.9590784767515252
True,entropy,10.0,sqrt,1,4,100,0.9611192930780559
True,entropy,10.0,sqrt,1,4,200,0.9610982537344835
True,entropy,10.0,sqrt,1,4,400,0.9631601094045866
True,entropy,10.0,sqrt,1,4,600,0.9610982537344835
True,entropy,10.0,sqrt,2,2,10,0.9590153587208079
True,entropy,10.0,sqrt,2,2,50,0.9590574374079528
True,entropy,10.0,sqrt,2,2,100,0.9610982537344835
True,entropy,10.0,sqrt,2,2,200,0.9652009257311172
True,entropy,10.0,sqrt,2,2,400,0.9590574374079528
True,entropy,10.0,sqrt,2,2,600,0.9610982537344835
True,entropy,10.0,sqrt,2,3,10,0.9610982537344835
True,entropy,10.0,sqrt,2,3,50,0.9610982537344835
True,entropy,10.0,sqrt,2,3,100,0.9611192930780559
True,entropy,10.0,sqrt,2,3,200,0.9631601094045866
True,entropy,10.0,sqrt,2,3,400,0.9631601094045866
True,entropy,10.0,sqrt,2,3,600,0.9631601094045866
True,entropy,10.0,sqrt,2,4,10,0.9550178834420366
True,entropy,10.0,sqrt,2,4,50,0.9631601094045866
True,entropy,10.0,sqrt,2,4,100,0.9631601094045864
True,entropy,10.0,sqrt,2,4,200,0.9631601094045866
True,entropy,10.0,sqrt,2,4,400,0.9631601094045866
True,entropy,10.0,sqrt,2,4,600,0.9631601094045866
True,entropy,10.0,sqrt,3,2,10,0.9590363980643802
True,entropy,10.0,sqrt,3,2,50,0.9631601094045866
True,entropy,10.0,sqrt,3,2,100,0.9631601094045866
True,entropy,10.0,sqrt,3,2,200,0.9631601094045866
True,entropy,10.0,sqrt,3,2,400,0.9631601094045866
True,entropy,10.0,sqrt,3,2,600,0.9631601094045866
True,entropy,10.0,sqrt,3,3,10,0.9549547654113193
True,entropy,10.0,sqrt,3,3,50,0.9631601094045866
True,entropy,10.0,sqrt,3,3,100,0.9631601094045866
True,entropy,10.0,sqrt,3,3,200,0.9652009257311172
True,entropy,10.0,sqrt,3,3,400,0.9631601094045866
True,entropy,10.0,sqrt,3,3,600,0.9631601094045866
True,entropy,10.0,sqrt,3,4,10,0.9672627814012202
True,entropy,10.0,sqrt,3,4,50,0.9652009257311172
True,entropy,10.0,sqrt,3,4,100,0.9590574374079528
True,entropy,10.0,sqrt,3,4,200,0.9631601094045866
True,entropy,10.0,sqrt,3,4,400,0.9631601094045866
True,entropy,10.0,sqrt,3,4,600,0.9610982537344835
True,entropy,10.0,sqrt,4,2,10,0.9631601094045866
True,entropy,10.0,sqrt,4,2,50,0.9610982537344833
True,entropy,10.0,sqrt,4,2,100,0.9631601094045866
True,entropy,10.0,sqrt,4,2,200,0.9631601094045866
True,entropy,10.0,sqrt,4,2,400,0.9631601094045866
True,entropy,10.0,sqrt,4,2,600,0.9631601094045866
True,entropy,10.0,sqrt,4,3,10,0.9631601094045866
True,entropy,10.0,sqrt,4,3,50,0.9611192930780559
True,entropy,10.0,sqrt,4,3,100,0.9652009257311172
True,entropy,10.0,sqrt,4,3,200,0.9652009257311172
True,entropy,10.0,sqrt,4,3,400,0.9631601094045866
True,entropy,10.0,sqrt,4,3,600,0.9631601094045866
True,entropy,10.0,sqrt,4,4,10,0.9611192930780559
True,entropy,10.0,sqrt,4,4,50,0.9611192930780559
True,entropy,10.0,sqrt,4,4,100,0.9610982537344835
True,entropy,10.0,sqrt,4,4,200,0.9611192930780559
True,entropy,10.0,sqrt,4,4,400,0.9631601094045866
True,entropy,10.0,sqrt,4,4,600,0.9652009257311172
True,entropy,10.0,log2,1,2,10,0.9508310540711129
True,entropy,10.0,log2,1,2,50,0.9610982537344835
True,entropy,10.0,log2,1,2,100,0.9610982537344835
True,entropy,10.0,log2,1,2,200,0.9610982537344835
True,entropy,10.0,log2,1,2,400,0.9610982537344835
True,entropy,10.0,log2,1,2,600,0.9611192930780559
True,entropy,10.0,log2,1,3,10,0.9508310540711131
True,entropy,10.0,log2,1,3,50,0.9610982537344835
True,entropy,10.0,log2,1,3,100,0.9631601094045866
True,entropy,10.0,log2,1,3,200,0.9610982537344835
True,entropy,10.0,log2,1,3,400,0.9631601094045866
True,entropy,10.0,log2,1,3,600,0.9590574374079528
True,entropy,10.0,log2,1,4,10,0.952892909741216
True,entropy,10.0,log2,1,4,50,0.9631601094045866
True,entropy,10.0,log2,1,4,100,0.9610982537344835
True,entropy,10.0,log2,1,4,200,0.9611192930780559
True,entropy,10.0,log2,1,4,400,0.9590574374079528
True,entropy,10.0,log2,1,4,600,0.9611192930780559
True,entropy,10.0,log2,2,2,10,0.9549337260677466
True,entropy,10.0,log2,2,2,50,0.9611192930780559
True,entropy,10.0,log2,2,2,100,0.9611192930780559
True,entropy,10.0,log2,2,2,200,0.9631601094045866
True,entropy,10.0,log2,2,2,400,0.9631601094045866
True,entropy,10.0,log2,2,2,600,0.9631601094045866
True,entropy,10.0,log2,2,3,10,0.9590153587208079
True,entropy,10.0,log2,2,3,50,0.9631390700610141
True,entropy,10.0,log2,2,3,100,0.9631601094045866
True,entropy,10.0,log2,2,3,200,0.9631390700610141
True,entropy,10.0,log2,2,3,400,0.9631601094045866
True,entropy,10.0,log2,2,3,600,0.9610982537344835
True,entropy,10.0,log2,2,4,10,0.9610982537344835
True,entropy,10.0,log2,2,4,50,0.9590574374079528
True,entropy,10.0,log2,2,4,100,0.9631601094045866
True,entropy,10.0,log2,2,4,200,0.9610982537344835
True,entropy,10.0,log2,2,4,400,0.9631601094045866
True,entropy,10.0,log2,2,4,600,0.9631601094045866
True,entropy,10.0,log2,3,2,10,0.9570166210814222
True,entropy,10.0,log2,3,2,50,0.9590363980643805
True,entropy,10.0,log2,3,2,100,0.9652009257311172
True,entropy,10.0,log2,3,2,200,0.9631601094045866
True,entropy,10.0,log2,3,2,400,0.9631601094045866
True,entropy,10.0,log2,3,2,600,0.9610982537344835
True,entropy,10.0,log2,3,3,10,0.963181148748159
True,entropy,10.0,log2,3,3,50,0.9652009257311172
True,entropy,10.0,log2,3,3,100,0.9652009257311172
True,entropy,10.0,log2,3,3,200,0.9631601094045866
True,entropy,10.0,log2,3,3,400,0.9631601094045866
True,entropy,10.0,log2,3,3,600,0.9631601094045866
True,entropy,10.0,log2,3,4,10,0.952934988428361
True,entropy,10.0,log2,3,4,50,0.9590574374079528
True,entropy,10.0,log2,3,4,100,0.9652009257311172
True,entropy,10.0,log2,3,4,200,0.9631601094045866
True,entropy,10.0,log2,3,4,400,0.9652009257311172
True,entropy,10.0,log2,3,4,600,0.9631601094045866
True,entropy,10.0,log2,4,2,10,0.9549547654113191
True,entropy,10.0,log2,4,2,50,0.9652009257311172
True,entropy,10.0,log2,4,2,100,0.9611192930780559
True,entropy,10.0,log2,4,2,200,0.9631601094045866
True,entropy,10.0,log2,4,2,400,0.9631601094045866
True,entropy,10.0,log2,4,2,600,0.9631601094045866
True,entropy,10.0,log2,4,3,10,0.9570166210814222
True,entropy,10.0,log2,4,3,50,0.9652009257311172
True,entropy,10.0,log2,4,3,100,0.9652009257311172
True,entropy,10.0,log2,4,3,200,0.9611192930780559
True,entropy,10.0,log2,4,3,400,0.9611192930780559
True,entropy,10.0,log2,4,3,600,0.9631601094045866
True,entropy,10.0,log2,4,4,10,0.9611403324216283
True,entropy,10.0,log2,4,4,50,0.9631601094045866
True,entropy,10.0,log2,4,4,100,0.9631601094045866
True,entropy,10.0,log2,4,4,200,0.9631601094045866
True,entropy,10.0,log2,4,4,400,0.9611192930780559
True,entropy,10.0,log2,4,4,600,0.9631601094045866
True,entropy,20.0,auto,1,2,10,0.9508731327582579
True,entropy,20.0,auto,1,2,50,0.9611192930780559
True,entropy,20.0,auto,1,2,100,0.9569955817378497
True,entropy,20.0,auto,1,2,200,0.9590574374079528
True,entropy,20.0,auto,1,2,400,0.9611192930780559
True,entropy,20.0,auto,1,2,600,0.9610982537344835
True,entropy,20.0,auto,1,3,10,0.9467915001051967
True,entropy,20.0,auto,1,3,50,0.9611192930780559
True,entropy,20.0,auto,1,3,100,0.9611192930780559
True,entropy,20.0,auto,1,3,200,0.9590574374079528
True,entropy,20.0,auto,1,3,400,0.9590574374079528
True,entropy,20.0,auto,1,3,600,0.9631601094045866
True,entropy,20.0,auto,1,4,10,0.9549758047548916
True,entropy,20.0,auto,1,4,50,0.9631601094045866
True,entropy,20.0,auto,1,4,100,0.9570166210814222
True,entropy,20.0,auto,1,4,200,0.9610982537344835
True,entropy,20.0,auto,1,4,400,0.9610982537344835
True,entropy,20.0,auto,1,4,600,0.9610982537344835
True,entropy,20.0,auto,2,2,10,0.9569955817378497
True,entropy,20.0,auto,2,2,50,0.9611192930780559
True,entropy,20.0,auto,2,2,100,0.9610982537344835
True,entropy,20.0,auto,2,2,200,0.9610982537344835
True,entropy,20.0,auto,2,2,400,0.9631601094045866
True,entropy,20.0,auto,2,2,600,0.9610982537344835
True,entropy,20.0,auto,2,3,10,0.9590574374079528
True,entropy,20.0,auto,2,3,50,0.9652009257311172
True,entropy,20.0,auto,2,3,100,0.9631601094045866
True,entropy,20.0,auto,2,3,200,0.9610982537344835
True,entropy,20.0,auto,2,3,400,0.9610982537344835
True,entropy,20.0,auto,2,3,600,0.9631601094045866
True,entropy,20.0,auto,2,4,10,0.9549758047548916
True,entropy,20.0,auto,2,4,50,0.9652219650746897
True,entropy,20.0,auto,2,4,100,0.9610982537344835
True,entropy,20.0,auto,2,4,200,0.9631601094045866
True,entropy,20.0,auto,2,4,400,0.9610982537344835
True,entropy,20.0,auto,2,4,600,0.9631601094045866
True,entropy,20.0,auto,3,2,10,0.9590995160950978
True,entropy,20.0,auto,3,2,50,0.9631601094045866
True,entropy,20.0,auto,3,2,100,0.9631601094045866
True,entropy,20.0,auto,3,2,200,0.9631601094045866
True,entropy,20.0,auto,3,2,400,0.9631601094045866
True,entropy,20.0,auto,3,2,600,0.9631601094045866
True,entropy,20.0,auto,3,3,10,0.9611403324216283
True,entropy,20.0,auto,3,3,50,0.9631601094045866
True,entropy,20.0,auto,3,3,100,0.9611192930780559
True,entropy,20.0,auto,3,3,200,0.9631601094045866
True,entropy,20.0,auto,3,3,400,0.9631601094045866
True,entropy,20.0,auto,3,3,600,0.9631601094045866
True,entropy,20.0,auto,3,4,10,0.9631601094045866
True,entropy,20.0,auto,3,4,50,0.9590363980643805
True,entropy,20.0,auto,3,4,100,0.9631601094045866
True,entropy,20.0,auto,3,4,200,0.9631601094045866
True,entropy,20.0,auto,3,4,400,0.9631601094045866
True,entropy,20.0,auto,3,4,600,0.9631601094045866
True,entropy,20.0,auto,4,2,10,0.9610982537344833
True,entropy,20.0,auto,4,2,50,0.9652009257311172
True,entropy,20.0,auto,4,2,100,0.9631601094045866
True,entropy,20.0,auto,4,2,200,0.9611192930780559
True,entropy,20.0,auto,4,2,400,0.9631601094045866
True,entropy,20.0,auto,4,2,600,0.9631601094045866
True,entropy,20.0,auto,4,3,10,0.9590363980643802
True,entropy,20.0,auto,4,3,50,0.9652219650746897
True,entropy,20.0,auto,4,3,100,0.9611192930780559
True,entropy,20.0,auto,4,3,200,0.9631601094045866
True,entropy,20.0,auto,4,3,400,0.9631601094045866
True,entropy,20.0,auto,4,3,600,0.9631601094045866
True,entropy,20.0,auto,4,4,10,0.9631601094045866
True,entropy,20.0,auto,4,4,50,0.9652219650746895
True,entropy,20.0,auto,4,4,100,0.9631601094045864
True,entropy,20.0,auto,4,4,200,0.9652009257311172
True,entropy,20.0,auto,4,4,400,0.9631601094045866
True,entropy,20.0,auto,4,4,600,0.9631601094045866
True,entropy,20.0,sqrt,1,2,10,0.9569955817378497
True,entropy,20.0,sqrt,1,2,50,0.9590574374079528
True,entropy,20.0,sqrt,1,2,100,0.9610982537344835
True,entropy,20.0,sqrt,1,2,200,0.9590574374079528
True,entropy,20.0,sqrt,1,2,400,0.9590574374079528
True,entropy,20.0,sqrt,1,2,600,0.9631601094045866
True,entropy,20.0,sqrt,1,3,10,0.9508520934146855
True,entropy,20.0,sqrt,1,3,50,0.9610982537344835
True,entropy,20.0,sqrt,1,3,100,0.9549337260677466
True,entropy,20.0,sqrt,1,3,200,0.9611192930780559
True,entropy,20.0,sqrt,1,3,400,0.9610982537344835
True,entropy,20.0,sqrt,1,3,600,0.9590574374079528
True,entropy,20.0,sqrt,1,4,10,0.9569745423942772
True,entropy,20.0,sqrt,1,4,50,0.9590363980643805
True,entropy,20.0,sqrt,1,4,100,0.9590574374079528
True,entropy,20.0,sqrt,1,4,200,0.9610982537344835
True,entropy,20.0,sqrt,1,4,400,0.9610982537344835
True,entropy,20.0,sqrt,1,4,600,0.9590574374079528
True,entropy,20.0,sqrt,2,2,10,0.963181148748159
True,entropy,20.0,sqrt,2,2,50,0.9611192930780559
True,entropy,20.0,sqrt,2,2,100,0.9652219650746897
True,entropy,20.0,sqrt,2,2,200,0.9631601094045866
True,entropy,20.0,sqrt,2,2,400,0.9631601094045866
True,entropy,20.0,sqrt,2,2,600,0.9631601094045866
True,entropy,20.0,sqrt,2,3,10,0.9631601094045866
True,entropy,20.0,sqrt,2,3,50,0.9631601094045866
True,entropy,20.0,sqrt,2,3,100,0.9610982537344835
True,entropy,20.0,sqrt,2,3,200,0.9610982537344835
True,entropy,20.0,sqrt,2,3,400,0.9610982537344835
True,entropy,20.0,sqrt,2,3,600,0.9631601094045866
True,entropy,20.0,sqrt,2,4,10,0.963181148748159
True,entropy,20.0,sqrt,2,4,50,0.9611192930780559
True,entropy,20.0,sqrt,2,4,100,0.9610982537344835
True,entropy,20.0,sqrt,2,4,200,0.9610982537344835
True,entropy,20.0,sqrt,2,4,400,0.9610982537344835
True,entropy,20.0,sqrt,2,4,600,0.9631601094045866
True,entropy,20.0,sqrt,3,2,10,0.9610982537344835
True,entropy,20.0,sqrt,3,2,50,0.9652009257311172
True,entropy,20.0,sqrt,3,2,100,0.9631601094045866
True,entropy,20.0,sqrt,3,2,200,0.9631601094045866
True,entropy,20.0,sqrt,3,2,400,0.9631601094045866
True,entropy,20.0,sqrt,3,2,600,0.9631601094045866
True,entropy,20.0,sqrt,3,3,10,0.9610982537344835
True,entropy,20.0,sqrt,3,3,50,0.9590363980643805
True,entropy,20.0,sqrt,3,3,100,0.9611192930780559
True,entropy,20.0,sqrt,3,3,200,0.9631601094045866
True,entropy,20.0,sqrt,3,3,400,0.9631601094045866
True,entropy,20.0,sqrt,3,3,600,0.9631601094045866
True,entropy,20.0,sqrt,3,4,10,0.9610772143909111
True,entropy,20.0,sqrt,3,4,50,0.9610982537344835
True,entropy,20.0,sqrt,3,4,100,0.9610982537344835
True,entropy,20.0,sqrt,3,4,200,0.9610982537344835
True,entropy,20.0,sqrt,3,4,400,0.9631601094045866
True,entropy,20.0,sqrt,3,4,600,0.9631601094045866
True,entropy,20.0,sqrt,4,2,10,0.9569955817378497
True,entropy,20.0,sqrt,4,2,50,0.9590574374079528
True,entropy,20.0,sqrt,4,2,100,0.9652009257311172
True,entropy,20.0,sqrt,4,2,200,0.9631601094045866
True,entropy,20.0,sqrt,4,2,400,0.9631601094045866
True,entropy,20.0,sqrt,4,2,600,0.9631601094045866
True,entropy,20.0,sqrt,4,3,10,0.9549547654113191
True,entropy,20.0,sqrt,4,3,50,0.9590363980643805
True,entropy,20.0,sqrt,4,3,100,0.9631601094045866
True,entropy,20.0,sqrt,4,3,200,0.9631601094045866
True,entropy,20.0,sqrt,4,3,400,0.9631601094045866
True,entropy,20.0,sqrt,4,3,600,0.9631601094045866
True,entropy,20.0,sqrt,4,4,10,0.9569955817378497
True,entropy,20.0,sqrt,4,4,50,0.9611192930780559
True,entropy,20.0,sqrt,4,4,100,0.9631390700610141
True,entropy,20.0,sqrt,4,4,200,0.9631601094045866
True,entropy,20.0,sqrt,4,4,400,0.9631601094045866
True,entropy,20.0,sqrt,4,4,600,0.9631601094045866
True,entropy,20.0,log2,1,2,10,0.952850831054071
True,entropy,20.0,log2,1,2,50,0.9610982537344835
True,entropy,20.0,log2,1,2,100,0.9610982537344835
True,entropy,20.0,log2,1,2,200,0.9610982537344835
True,entropy,20.0,log2,1,2,400,0.9590574374079528
True,entropy,20.0,log2,1,2,600,0.9611192930780559
True,entropy,20.0,log2,1,3,10,0.963181148748159
True,entropy,20.0,log2,1,3,50,0.9631601094045866
True,entropy,20.0,log2,1,3,100,0.9610982537344835
True,entropy,20.0,log2,1,3,200,0.9631390700610141
True,entropy,20.0,log2,1,3,400,0.9610982537344835
True,entropy,20.0,log2,1,3,600,0.9590574374079528
True,entropy,20.0,log2,1,4,10,0.9549758047548916
True,entropy,20.0,log2,1,4,50,0.9631601094045866
True,entropy,20.0,log2,1,4,100,0.9570166210814222
True,entropy,20.0,log2,1,4,200,0.9610982537344835
True,entropy,20.0,log2,1,4,400,0.9610982537344835
True,entropy,20.0,log2,1,4,600,0.9611192930780559
True,entropy,20.0,log2,2,2,10,0.9611192930780559
True,entropy,20.0,log2,2,2,50,0.9549547654113191
True,entropy,20.0,log2,2,2,100,0.9631601094045866
True,entropy,20.0,log2,2,2,200,0.9631601094045866
True,entropy,20.0,log2,2,2,400,0.9610982537344835
True,entropy,20.0,log2,2,2,600,0.9610982537344835
True,entropy,20.0,log2,2,3,10,0.9590363980643805
True,entropy,20.0,log2,2,3,50,0.9610982537344835
True,entropy,20.0,log2,2,3,100,0.9631601094045866
True,entropy,20.0,log2,2,3,200,0.9631601094045866
True,entropy,20.0,log2,2,3,400,0.9631601094045866
True,entropy,20.0,log2,2,3,600,0.9610982537344835
True,entropy,20.0,log2,2,4,10,0.9611192930780559
True,entropy,20.0,log2,2,4,50,0.9631601094045866
True,entropy,20.0,log2,2,4,100,0.9652009257311172
True,entropy,20.0,log2,2,4,200,0.9610982537344835
True,entropy,20.0,log2,2,4,400,0.9610982537344835
True,entropy,20.0,log2,2,4,600,0.9610982537344835
True,entropy,20.0,log2,3,2,10,0.9590784767515252
True,entropy,20.0,log2,3,2,50,0.9610982537344835
True,entropy,20.0,log2,3,2,100,0.9611192930780559
True,entropy,20.0,log2,3,2,200,0.9631601094045866
True,entropy,20.0,log2,3,2,400,0.9631601094045866
True,entropy,20.0,log2,3,2,600,0.9610982537344835
True,entropy,20.0,log2,3,3,10,0.9631390700610141
True,entropy,20.0,log2,3,3,50,0.9672627814012202
True,entropy,20.0,log2,3,3,100,0.9631601094045866
True,entropy,20.0,log2,3,3,200,0.9631601094045866
True,entropy,20.0,log2,3,3,400,0.9631601094045866
True,entropy,20.0,log2,3,3,600,0.9631601094045866
True,entropy,20.0,log2,3,4,10,0.9610982537344835
True,entropy,20.0,log2,3,4,50,0.9631601094045866
True,entropy,20.0,log2,3,4,100,0.9631601094045866
True,entropy,20.0,log2,3,4,200,0.9611192930780559
True,entropy,20.0,log2,3,4,400,0.9631601094045866
True,entropy,20.0,log2,3,4,600,0.9631601094045866
True,entropy,20.0,log2,4,2,10,0.9631601094045866
True,entropy,20.0,log2,4,2,50,0.9631601094045866
True,entropy,20.0,log2,4,2,100,0.9611192930780559
True,entropy,20.0,log2,4,2,200,0.9652009257311172
True,entropy,20.0,log2,4,2,400,0.9631601094045866
True,entropy,20.0,log2,4,2,600,0.9652009257311172
True,entropy,20.0,log2,4,3,10,0.9590574374079528
True,entropy,20.0,log2,4,3,50,0.9631601094045866
True,entropy,20.0,log2,4,3,100,0.9610982537344835
True,entropy,20.0,log2,4,3,200,0.9631601094045866
True,entropy,20.0,log2,4,3,400,0.9631601094045866
True,entropy,20.0,log2,4,3,600,0.9631601094045866
True,entropy,20.0,log2,4,4,10,0.9549547654113193
True,entropy,20.0,log2,4,4,50,0.9631601094045866
True,entropy,20.0,log2,4,4,100,0.9652009257311172
True,entropy,20.0,log2,4,4,200,0.9631601094045866
True,entropy,20.0,log2,4,4,400,0.9611192930780559
True,entropy,20.0,log2,4,4,600,0.9631601094045866
True,entropy,40.0,auto,1,2,10,0.9446875657479487
True,entropy,40.0,auto,1,2,50,0.9610982537344835
True,entropy,40.0,auto,1,2,100,0.9590574374079528
True,entropy,40.0,auto,1,2,200,0.9611192930780559
True,entropy,40.0,auto,1,2,400,0.9610982537344835
True,entropy,40.0,auto,1,2,600,0.9610982537344835
True,entropy,40.0,auto,1,3,10,0.9508520934146855
True,entropy,40.0,auto,1,3,50,0.9610982537344835
True,entropy,40.0,auto,1,3,100,0.9631601094045866
True,entropy,40.0,auto,1,3,200,0.9610982537344835
True,entropy,40.0,auto,1,3,400,0.9590574374079528
True,entropy,40.0,auto,1,3,600,0.9610982537344835
True,entropy,40.0,auto,1,4,10,0.952934988428361
True,entropy,40.0,auto,1,4,50,0.9631601094045866
True,entropy,40.0,auto,1,4,100,0.9631601094045866
True,entropy,40.0,auto,1,4,200,0.9611192930780559
True,entropy,40.0,auto,1,4,400,0.9590574374079528
True,entropy,40.0,auto,1,4,600,0.9610982537344835
True,entropy,40.0,auto,2,2,10,0.9672417420576478
True,entropy,40.0,auto,2,2,50,0.9610982537344835
True,entropy,40.0,auto,2,2,100,0.9610982537344835
True,entropy,40.0,auto,2,2,200,0.9610982537344835
True,entropy,40.0,auto,2,2,400,0.9631601094045866
True,entropy,40.0,auto,2,2,600,0.9631601094045866
True,entropy,40.0,auto,2,3,10,0.9611403324216283
True,entropy,40.0,auto,2,3,50,0.9528929097412162
True,entropy,40.0,auto,2,3,100,0.9631601094045866
True,entropy,40.0,auto,2,3,200,0.9631601094045866
True,entropy,40.0,auto,2,3,400,0.9610982537344835
True,entropy,40.0,auto,2,3,600,0.9610982537344835
True,entropy,40.0,auto,2,4,10,0.9610982537344835
True,entropy,40.0,auto,2,4,50,0.9569955817378497
True,entropy,40.0,auto,2,4,100,0.9631601094045866
True,entropy,40.0,auto,2,4,200,0.9631601094045866
True,entropy,40.0,auto,2,4,400,0.9610982537344835
